Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
       121 , +3.523468104E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       122 , +3.613813440E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       123 , +3.704158777E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       124 , +3.794504113E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       125 , +3.884849449E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       126 , +3.975194785E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       127 , +4.065540121E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       128 , +4.155885457E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       129 , +4.246230793E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       130 , +4.336576129E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       131 , +4.426921465E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
