Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
        72 , +4.240207770E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        73 , +4.293210367E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        74 , +4.346212964E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        75 , +4.399215562E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        76 , +4.452218159E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        77 , +4.505220756E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        78 , +4.558223353E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        79 , +4.611225950E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        80 , +4.664228547E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        81 , +4.717231144E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        82 , +4.770233741E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        83 , +4.823236339E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        84 , +4.876238936E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        85 , +4.929241533E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        86 , +4.982244130E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        87 , +5.035246727E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        88 , +5.088249324E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        89 , +5.141251921E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        90 , +5.194254518E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        91 , +5.247257116E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        92 , +5.300259713E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        93 , +5.830285684E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        94 , +6.360311655E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        95 , +6.890337627E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        96 , +7.420363598E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        97 , +7.950389569E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        98 , +8.480415540E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        99 , +9.010441512E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       100 , +9.540467483E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       101 , +1.007049345E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       102 , +1.060051943E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       103 , +1.113054540E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       104 , +1.166057137E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       105 , +1.219059734E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       106 , +1.272062331E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       107 , +1.325064928E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       108 , +1.378067525E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       109 , +1.431070122E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       110 , +1.484072720E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       111 , +1.537075317E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       112 , +1.590077914E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       113 , +1.643080511E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       114 , +1.696083108E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       115 , +1.749085705E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       116 , +1.802088302E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       117 , +1.855090899E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       118 , +1.908093497E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       119 , +1.961096094E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       120 , +2.014098691E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
