304,C,NH2,,HNC,H,,,2.00E-11,0.50,0.0,,,,,
305,C,OH,,CH,O,,,2.25E-11,0.50,14800.0,,,,,
306,C,OH,,CO,H,,,1.10E-10,0.50,0.0,,,,,
307,C,NHD,,HNC,D,,,1.00E-11,0.50,0.0,,,,,
308,C,NHD,,DNC,H,,,1.00E-11,0.50,0.0,,,,,
309,C,OD,,CD,O,,,2.25E-11,0.50,14800.0,,,,,
310,C,OD,,CO,D,,,1.10E-10,0.50,0.0,,,,,
311,C,ND2,,DNC,D,,,2.00E-11,0.50,0.0,,,,,
312,C,CN,,C2,N,,,4.98E-10,0.00,18116.0,,,,,
313,C,C2H2,,C3H,H,,,2.00E-10,0.00,0.0,,,,,
314,C,C2HD,,C3H,D,,,1.00E-10,0.00,0.0,,,,,
315,C,C2HD,,C3D,H,,,1.00E-10,0.00,0.0,,,,,
316,C,CO,,C2,O,,,2.94E-11,0.50,58025.0,,,,,
317,C,N2,,CN,N,,,1.05E-10,0.00,23160.0,,,,,
318,C,HCO,,CH,CO,,,2.00E-11,0.00,0.0,,,,,
319,C,NO,,CN,O,,,4.80E-11,0.00,0.0,,,,,
320,C,NO,,CO,N,,,1.73E-11,0.50,4000.0,,,,,
321,C,DCO,,CD,CO,,,2.00E-11,0.00,0.0,,,,,
322,C,O2,,CO,O,,,3.30E-11,0.00,0.0,,,,,
323,C,C3H4,,C3H,CH3,,,1.00E-10,0.00,0.0,,,,,
324,C,C3H4,,C4H2,H2,,,4.00E-10,0.00,0.0,,,,,
325,C,C3H3D,,C3H,CH2D,,,7.50E-11,0.00,0.0,,,,,
326,C,C3H3D,,C3D,CH3,,,2.50E-11,0.00,0.0,,,,,
327,C,C3H3D,,C4H2,HD,,,2.00E-10,0.00,0.0,,,,,
328,C,C3H3D,,C4HD,H2,,,2.00E-10,0.00,0.0,,,,,
329,C,C3N,,CN,C3,,,2.00E-10,0.00,0.0,,,,,
330,C,C3O,,C3,CO,,,2.00E-10,0.00,0.0,,,,,
331,CH,CH4,,CH2,CH3,,,2.28E-11,0.70,3000.0,,,,,
332,CH,OH,,HCO,H,,,1.44E-11,0.50,5000.0,,,,,
333,CH,CH3D,,CH2,CH2D,,,1.37E-11,0.70,3000.0,,,,,
334,CH,CH3D,,CHD,CH3,,,9.12E-12,0.70,3000.0,,,,,
335,CH,OD,,HCO,D,,,7.20E-12,0.50,5000.0,,,,,
336,CH,OD,,DCO,H,,,7.20E-12,0.50,5000.0,,,,,
337,CH,CH2D2,,CH2,CHD2,,,1.14E-11,0.70,3000.0,,,,,
338,CH,CH2D2,,CHD,CH2D,,,1.14E-11,0.70,3000.0,,,,,
339,CH,CHD3,,CH2,CD3,,,5.70E-12,0.70,3000.0,,,,,
340,CH,CHD3,,CHD,CHD2,,,1.71E-11,0.70,3000.0,,,,,
341,CH,CD4,,CHD,CD3,,,2.28E-11,0.70,3000.0,,,,,
342,CH,N2,,HCN,N,,,1.00E-12,0.00,7000.0,,,,,
343,CH,HCO,,CH2,CO,,,2.87E-12,0.70,500.0,,,,,
344,CH,NO,,HCN,O,,,1.66E-10,0.00,0.0,,,,,
345,CH,NO,,HCO,N,,,2.70E-11,0.00,5000.0,,,,,
346,CH,DCO,,CHD,CO,,,2.87E-12,0.70,500.0,,,,,
347,CH,H2CO,,CH2,HCO,,,9.21E-12,0.70,2000.0,,,,,
348,CH,HDCO,,CH2,DCO,,,3.07E-12,0.70,2000.0,,,,,
349,CH,HDCO,,CHD,HCO,,,6.14E-12,0.70,2000.0,,,,,
350,CH,O2,,HCO,O,,,1.44E-11,0.50,3000.0,,,,,
